,number_of_vehicles_involved,number_of_casualties,accident_severity,time_hours,day_of_week_encoded,driving_experience_encoded,educational_level_encoded,age_band_of_casualty_encoded,service_year_of_vehicle_encoded,age_band_of_driver_encoded,casualty_severity_encoded,cause_of_accident_encoded,type_of_vehicle_encoded,area_accident_occured_encoded,vehicle_movement_encoded,road_allignment_encoded,type_of_collision_encoded,pedestrian_movement_encoded,weather_conditions_encoded,types_of_junction_encoded,lanes_or_medians_encoded,road_surface_type_encoded,owner_of_vehicle_encoded,road_surface_conditions_encoded,casualty_class_encoded,light_conditions_encoded,sex_of_casualty_encoded,sex_of_driver_encoded
5735,2,1,Slight Injury,14,4,2,4,5,5,0,3,10,0,13,4,5,8,5,4,7,6,0,4,3,3,3,2,1
5736,2,1,Slight Injury,14,4,2,1,1,5,2,2,9,8,7,0,5,8,5,4,7,2,0,1,3,0,3,1,1
5737,2,1,Slight Injury,18,2,4,2,0,3,1,2,12,9,7,9,3,8,5,2,7,6,0,3,0,1,3,1,1
5738,2,1,Slight Injury,18,2,3,4,5,5,0,3,3,5,6,0,5,8,5,2,7,4,0,3,0,3,3,2,1
5739,2,3,Slight Injury,20,3,2,4,5,5,3,3,10,5,6,0,5,8,5,2,7,1,0,3,3,3,0,2,1
5740,2,3,Slight Injury,20,3,4,4,1,3,3,2,13,5,2,0,5,8,5,2,7,6,0,3,3,0,0,1,1
5741,2,3,Slight Injury,20,3,3,4,1,5,3,2,1,10,6,0,5,8,1,2,7,0,3,3,3,2,0,0,1
5742,2,3,Slight Injury,20,3,2,4,5,3,4,3,10,5,6,0,5,8,5,2,7,6,0,3,3,3,0,2,1
5743,1,1,Slight Injury,13,4,3,4,1,5,1,2,3,5,6,4,5,8,5,2,7,2,0,3,0,0,3,1,1
5744,1,1,Slight Injury,22,4,2,4,3,5,2,2,10,6,6,2,5,8,5,2,1,1,0,3,0,2,2,0,1
5745,2,1,Slight Injury,16,0,0,4,1,1,4,2,12,5,9,2,5,8,5,2,1,4,0,3,0,0,3,1,1
5746,2,1,Slight Injury,16,0,0,4,5,3,0,3,1,12,9,4,5,8,5,2,1,6,0,3,0,3,3,2,1
5747,2,1,Slight Injury,8,2,0,4,5,2,1,3,11,0,9,2,5,8,5,2,1,4,0,3,0,3,3,2,1
5748,2,1,Slight Injury,8,2,1,2,1,2,0,2,12,5,6,2,5,8,5,2,1,0,0,3,0,0,3,0,1
5749,2,1,Slight Injury,16,5,3,2,5,5,2,3,0,8,9,2,3,8,5,2,1,2,0,3,0,3,3,2,1
5750,2,1,Slight Injury,16,5,1,1,1,5,3,2,18,11,7,2,5,8,5,2,1,2,0,0,0,0,3,1,1
5751,2,1,Slight Injury,2,2,3,4,5,4,0,3,4,14,7,2,5,8,5,3,3,2,0,0,0,3,0,2,1
5752,2,1,Slight Injury,2,2,1,2,1,5,1,2,3,0,7,7,9,8,5,3,3,2,0,3,0,0,0,1,1
5753,2,1,Slight Injury,20,3,5,4,5,5,0,3,4,9,12,3,5,2,5,2,3,0,0,3,3,3,3,2,1
5754,2,1,Slight Injury,20,3,0,4,0,5,3,2,3,0,12,5,5,2,5,2,3,0,0,3,3,0,3,1,1
5755,2,1,Slight Injury,23,4,2,4,5,1,4,3,11,0,12,2,5,8,5,2,7,4,0,3,0,3,2,2,0
5756,2,1,Slight Injury,23,4,0,4,1,5,1,2,3,0,9,2,5,8,5,2,7,1,0,3,0,0,2,0,1
5757,2,1,Slight Injury,11,6,3,4,5,5,4,3,1,5,7,2,5,8,5,2,7,4,0,3,0,3,3,2,1
5758,2,1,Slight Injury,11,6,0,4,4,5,1,2,9,0,6,7,5,8,5,2,7,2,0,3,0,0,3,1,1
5759,2,1,Slight Injury,9,5,0,4,4,2,0,2,3,0,7,2,5,2,5,0,1,2,0,3,0,2,3,1,1
5760,2,1,Slight Injury,9,5,1,4,3,3,2,2,1,9,12,2,5,8,5,0,1,4,0,3,0,1,3,0,1
5761,1,1,Slight Injury,8,5,0,2,1,2,0,2,3,15,7,2,5,2,5,2,1,0,0,3,0,2,3,1,1
5762,2,1,Slight Injury,13,4,0,4,1,1,0,2,3,0,4,2,5,2,5,2,1,2,0,3,0,0,3,0,1
5763,2,1,Slight Injury,13,4,3,1,1,1,2,2,3,9,7,7,5,1,5,2,1,2,4,3,0,1,3,1,1
5764,2,1,Slight Injury,8,4,3,4,1,5,4,2,1,14,6,2,5,8,5,2,1,2,5,3,0,1,3,1,1
5765,2,1,Slight Injury,8,4,3,1,5,5,0,3,1,14,7,2,5,2,5,2,1,2,0,3,0,3,3,2,1
5766,2,1,Slight Injury,13,6,3,4,5,5,1,3,3,0,7,4,5,8,5,2,1,2,0,3,0,3,3,2,1
5767,2,1,Slight Injury,13,6,0,4,2,3,4,2,16,5,5,0,5,8,5,2,1,4,0,1,0,0,3,1,0
5768,2,1,Slight Injury,17,5,2,4,5,5,0,3,1,0,7,9,5,8,5,2,1,6,0,3,0,3,3,2,1
5769,2,1,Slight Injury,17,5,1,2,3,3,1,2,10,9,9,2,5,8,5,2,1,2,0,3,0,0,3,0,1
5770,4,1,Slight Injury,15,1,1,4,5,3,1,3,13,0,6,2,5,8,5,2,1,2,0,3,0,3,3,2,1
5771,4,1,Slight Injury,15,1,2,4,0,5,1,2,1,0,6,2,5,8,5,2,1,0,0,3,0,0,3,1,1
5772,4,1,Slight Injury,15,1,2,4,1,1,1,2,1,5,3,2,9,2,0,2,1,1,0,4,0,2,3,0,1
5773,4,1,Slight Injury,15,1,1,4,2,5,0,2,16,0,4,2,5,8,5,2,1,2,0,3,0,2,3,1,1
5774,2,3,Slight Injury,15,5,3,2,1,1,4,1,13,6,7,2,5,2,5,2,1,4,0,3,0,1,3,0,1
5775,2,3,Slight Injury,15,5,2,1,5,5,0,3,4,17,6,2,5,8,5,2,1,4,0,3,0,3,3,2,1
5776,2,3,Slight Injury,15,5,3,4,1,5,0,2,16,0,6,2,5,8,5,2,1,6,0,3,0,0,3,1,1
5777,2,3,Slight Injury,15,5,1,6,0,5,0,2,12,0,9,1,5,8,5,2,1,2,4,3,0,0,3,1,1
5778,2,1,Slight Injury,15,1,1,4,1,5,0,2,9,0,9,1,5,2,1,2,1,5,0,3,0,2,3,0,1
5779,2,1,Slight Injury,15,1,1,2,5,5,2,3,13,11,12,1,5,2,5,2,1,2,0,3,0,3,3,2,1
5780,2,1,Slight Injury,13,0,0,4,1,5,1,2,12,17,7,3,5,8,5,7,7,2,0,0,0,0,3,1,1
5781,2,1,Slight Injury,13,0,2,2,0,5,1,2,11,0,0,2,5,8,2,7,7,4,0,0,0,2,3,0,1
5782,2,1,Slight Injury,5,1,1,1,1,5,2,2,1,0,6,2,5,8,5,2,1,6,0,3,0,0,3,0,1
5783,2,1,Slight Injury,5,1,0,4,1,5,3,2,1,7,2,12,5,8,5,2,1,2,0,3,0,1,3,0,1
5784,2,1,Slight Injury,8,5,0,1,5,5,4,3,1,14,2,2,5,8,5,7,1,2,0,0,0,3,3,2,1
5785,2,1,Slight Injury,8,5,5,2,1,5,1,2,4,5,9,2,5,8,5,7,1,0,0,3,0,0,3,1,1
5786,2,1,Slight Injury,21,2,2,4,5,3,1,3,0,15,9,2,5,8,5,2,7,2,0,3,0,3,0,2,1
5787,2,1,Slight Injury,21,2,0,4,3,5,4,2,9,7,9,7,5,2,5,2,7,0,4,3,0,2,0,1,0
5788,2,2,Slight Injury,15,1,1,4,5,3,1,3,2,9,9,2,5,2,5,2,3,2,0,3,0,3,3,2,1
5789,2,2,Slight Injury,15,1,2,4,1,0,3,1,9,0,7,2,5,2,5,2,3,0,0,3,0,0,3,1,1
5790,1,1,Slight Injury,19,0,6,5,3,5,3,1,10,0,7,4,5,8,5,4,1,2,5,3,3,0,3,1,1
5791,2,1,Serious Injury,14,2,6,5,5,1,4,3,13,10,9,0,5,8,5,4,1,2,0,3,3,3,3,2,0
5792,2,1,Serious Injury,14,2,1,4,5,5,0,3,12,5,7,9,5,8,5,4,1,6,0,3,3,3,3,2,1
5793,2,1,Slight Injury,6,4,3,4,1,5,1,2,1,5,2,2,5,8,5,2,7,4,0,3,0,0,3,1,1
5794,2,1,Slight Injury,6,4,3,4,1,5,1,2,13,4,7,2,5,1,5,2,7,4,2,3,0,1,3,0,1
5795,1,1,Slight Injury,19,0,6,5,1,5,0,2,10,6,6,2,5,1,5,2,1,4,0,3,3,1,3,1,1
5796,2,1,Slight Injury,18,1,3,1,1,1,2,2,3,5,6,2,5,8,5,2,7,2,0,3,0,0,3,1,1
5797,2,1,Slight Injury,18,1,6,5,5,5,0,3,10,14,9,2,5,8,5,2,7,4,0,3,0,3,3,2,1
5798,2,2,Slight Injury,16,5,2,4,5,5,3,3,9,0,7,2,5,8,5,2,7,2,0,3,0,3,3,2,1
5799,2,2,Slight Injury,16,5,3,4,1,3,1,2,10,7,4,2,5,8,5,2,7,4,0,3,0,0,3,1,1
5800,2,2,Slight Injury,3,5,3,2,3,5,1,2,9,7,6,2,5,8,5,8,1,2,0,3,3,1,2,0,1
5801,2,2,Slight Injury,3,5,6,5,4,5,1,2,11,15,1,1,5,8,5,8,1,2,0,1,3,2,2,1,1
5802,2,2,Slight Injury,3,5,2,1,5,0,4,3,0,0,9,1,5,8,5,8,1,2,0,3,3,3,2,2,1
5803,2,1,Slight Injury,17,0,3,1,0,3,0,2,10,3,9,1,5,8,5,2,7,4,0,3,0,0,3,1,1
5804,2,1,Slight Injury,17,0,4,4,1,2,1,2,13,3,2,3,3,8,5,2,7,4,0,3,0,0,3,1,1
5805,2,1,Slight Injury,6,6,1,4,5,2,0,3,10,5,9,2,5,8,5,2,3,4,0,3,0,3,3,2,1
5806,2,1,Slight Injury,6,6,1,4,5,5,4,3,11,5,13,2,5,2,5,2,3,6,0,3,0,3,3,2,1
5807,2,1,Serious Injury,8,0,2,2,0,2,0,2,9,4,7,12,5,6,5,2,1,4,0,3,0,0,3,1,1
5808,2,1,Serious Injury,8,0,6,4,5,5,1,3,11,0,7,2,5,8,5,2,1,3,0,3,0,3,3,2,1
5809,2,2,Slight Injury,15,3,4,5,5,5,1,3,10,15,2,4,5,8,5,4,1,3,0,3,3,3,3,2,1
5810,2,2,Slight Injury,15,3,3,1,5,5,1,3,11,7,7,2,5,8,5,4,1,3,0,0,3,3,3,2,1
5811,2,2,Slight Injury,15,3,4,1,0,5,0,2,3,0,2,2,5,8,5,4,1,3,0,3,3,0,3,1,1
5812,2,1,Slight Injury,20,3,2,4,5,5,3,3,7,0,2,2,5,8,5,2,0,2,2,3,0,3,3,2,1
5813,2,1,Slight Injury,20,3,2,4,2,3,1,1,3,0,7,2,5,2,5,2,0,4,0,3,0,0,3,0,1
5814,2,1,Slight Injury,20,1,6,5,5,2,0,3,0,0,7,5,5,2,5,2,1,4,0,0,0,3,3,2,1
5815,2,1,Slight Injury,20,1,0,4,1,2,1,2,12,11,12,2,5,8,5,2,1,6,0,3,0,0,3,1,1
5816,1,1,Slight Injury,15,1,2,2,1,3,1,2,1,4,9,2,5,2,5,2,3,4,0,3,0,0,3,1,1
5817,2,1,Slight Injury,18,2,2,4,5,0,0,3,1,5,7,2,5,8,5,2,1,2,0,4,0,3,3,2,1
5818,2,1,Slight Injury,18,2,2,4,1,3,2,2,10,5,6,9,5,8,5,2,1,4,0,3,0,0,3,1,1
5819,1,1,Serious Injury,18,5,2,4,1,3,3,2,10,14,9,2,5,8,5,7,1,4,0,3,0,1,3,0,0
5820,2,1,Slight Injury,17,4,3,4,5,3,1,3,0,7,7,2,3,8,5,2,1,1,0,3,0,3,3,2,1
5821,2,1,Slight Injury,17,4,2,4,0,3,4,2,1,0,9,1,5,8,5,2,1,2,0,3,0,0,3,1,1
5822,2,1,Slight Injury,12,0,5,4,5,2,4,3,12,8,9,3,5,8,5,2,1,4,0,3,0,3,3,2,1
5823,2,1,Slight Injury,12,0,4,0,1,5,3,2,0,6,9,1,5,1,5,2,1,2,2,3,0,0,3,1,1
5824,3,2,Slight Injury,18,0,2,1,5,0,1,3,12,0,7,5,5,8,5,2,3,6,0,3,0,3,3,2,1
5825,3,2,Slight Injury,18,0,2,1,1,2,2,2,9,8,7,2,5,2,5,2,3,4,0,3,0,0,3,1,1
5826,3,2,Slight Injury,18,0,2,4,5,2,2,3,18,6,7,2,5,8,5,2,3,1,0,3,0,3,3,2,1
5827,3,2,Slight Injury,18,0,2,2,5,0,2,3,10,14,3,2,5,2,5,2,3,4,0,3,0,3,3,2,1
5828,1,1,Slight Injury,1,3,2,4,1,1,1,2,10,5,9,7,5,8,5,4,7,4,0,3,3,0,0,1,1
5829,2,1,Slight Injury,7,4,1,4,4,2,0,2,10,15,9,1,5,8,6,2,1,1,0,3,0,2,3,1,1
5830,2,1,Slight Injury,7,4,2,6,1,2,1,2,0,0,9,2,5,1,5,2,1,4,0,3,0,1,3,0,1
5831,2,1,Slight Injury,8,5,3,4,5,0,1,3,12,3,7,2,5,8,5,4,0,2,0,3,3,3,3,2,1
5832,2,1,Slight Injury,8,5,0,4,0,0,4,2,2,0,6,2,5,8,5,4,0,2,3,3,3,0,3,1,1
5833,2,2,Slight Injury,17,5,4,6,5,1,0,3,16,9,7,7,5,8,5,4,0,6,0,3,3,3,3,2,1
5834,2,2,Slight Injury,17,5,0,1,0,5,2,2,13,4,6,2,5,8,5,4,0,0,0,3,3,0,3,1,1
5835,1,1,Serious Injury,8,6,2,4,1,5,2,2,0,8,9,8,5,1,1,3,1,2,0,3,3,2,3,0,1
5836,2,2,Serious Injury,18,4,3,1,0,5,3,2,11,5,6,5,1,8,5,2,3,0,0,3,0,2,3,0,1
5837,2,2,Serious Injury,18,4,2,4,5,5,3,3,0,7,6,2,5,8,5,2,3,0,0,3,0,3,3,2,1
5838,2,2,Serious Injury,18,4,1,1,0,5,3,2,10,0,7,7,5,8,5,2,3,0,0,1,0,0,3,1,1
5839,1,1,Serious Injury,11,6,1,4,4,5,4,2,9,3,6,2,5,8,1,2,1,2,0,3,0,2,3,1,1
5840,2,1,Slight Injury,9,3,3,4,5,5,2,3,0,4,6,2,5,2,5,2,1,5,0,3,0,3,3,2,1
5841,2,1,Slight Injury,9,3,1,4,0,5,1,2,13,3,6,7,5,8,5,2,1,1,0,0,0,0,3,0,1
5842,2,1,Slight Injury,14,1,4,4,0,5,4,2,10,0,7,2,5,8,5,2,1,4,0,3,0,0,3,1,0
5843,2,1,Slight Injury,14,1,1,4,0,5,0,2,9,15,9,12,5,8,5,2,1,5,0,3,0,1,3,0,1
5844,3,2,Slight Injury,18,6,3,4,5,1,2,3,10,15,9,2,1,8,5,2,7,2,0,3,0,3,3,2,1
5845,3,2,Slight Injury,18,6,1,4,3,2,3,2,0,3,2,2,5,2,5,2,7,2,0,3,0,2,3,0,1
5846,3,2,Slight Injury,18,6,3,1,1,2,3,1,0,4,7,2,5,8,5,2,7,2,0,3,0,0,3,1,1
5847,3,2,Slight Injury,18,6,3,1,5,5,2,3,11,4,9,2,5,8,5,2,7,2,0,3,0,3,3,2,1
5848,2,1,Slight Injury,12,6,3,1,0,1,0,1,0,3,7,1,5,8,5,2,7,4,0,3,0,0,3,1,1
5849,2,1,Slight Injury,12,6,3,4,5,1,1,3,3,16,9,2,5,8,5,2,7,4,0,3,0,3,3,2,1
5850,3,1,Serious Injury,0,5,4,4,1,1,4,2,3,3,9,2,5,8,5,2,1,2,0,3,0,0,0,1,1
5851,3,1,Serious Injury,0,5,2,1,5,2,1,3,11,3,7,2,5,8,5,2,1,2,0,3,0,3,0,2,1
5852,3,1,Serious Injury,0,5,1,4,1,5,0,2,7,10,7,7,5,8,5,2,1,2,0,4,0,2,0,0,1
5853,2,1,Slight Injury,15,3,3,4,1,5,4,1,10,0,7,9,5,8,5,4,7,4,2,3,1,0,3,1,0
5854,2,1,Slight Injury,15,3,4,4,0,5,0,2,0,0,7,2,5,8,5,4,7,0,0,3,1,2,3,0,1
5855,1,2,Serious Injury,1,3,1,4,5,5,0,3,12,8,9,2,5,8,5,2,7,2,0,3,0,3,0,2,1
5856,1,2,Serious Injury,1,3,3,4,0,1,0,2,10,17,1,2,5,8,5,2,7,4,0,3,0,0,0,1,1
5857,2,1,Slight Injury,1,3,1,6,5,5,0,3,11,14,7,2,5,2,5,2,1,6,0,3,0,3,2,2,1
5858,2,1,Slight Injury,1,3,1,4,1,5,1,2,11,17,6,1,5,2,5,2,1,4,0,3,0,0,2,1,1
5859,2,1,Slight Injury,21,3,1,2,5,5,3,3,12,0,7,2,5,2,5,2,1,4,0,4,0,3,2,2,1
5860,2,1,Slight Injury,21,3,0,4,4,5,3,2,3,0,6,2,5,1,5,2,1,4,0,3,0,0,2,1,1
5861,2,2,Slight Injury,16,6,2,2,5,5,0,3,1,3,6,2,5,8,5,2,1,1,3,3,0,3,3,2,1
5862,2,2,Slight Injury,16,6,1,1,1,5,1,1,0,10,6,2,5,8,5,2,1,4,0,3,0,0,3,1,1
5863,2,2,Slight Injury,16,6,0,4,0,5,1,2,9,10,7,2,5,1,6,2,1,4,0,3,0,2,3,1,1
5864,2,1,Slight Injury,14,5,0,1,0,5,0,2,3,4,7,2,5,8,5,2,1,0,0,0,0,0,3,0,1
5865,2,1,Slight Injury,14,5,5,2,5,5,0,3,4,4,6,2,5,8,5,2,1,3,4,3,0,3,3,2,1
5866,2,1,Slight Injury,2,0,2,4,5,5,4,3,4,8,9,2,5,8,5,7,7,6,0,3,0,3,0,2,0
5867,2,1,Slight Injury,2,0,0,4,0,1,3,2,11,0,1,2,5,8,6,7,7,4,0,0,0,2,0,1,1
5868,2,1,Serious Injury,18,2,1,4,5,0,1,3,0,0,7,2,5,8,5,2,1,6,0,3,0,3,3,2,1
5869,2,1,Serious Injury,18,2,2,4,0,3,4,1,1,0,9,7,5,8,5,2,1,6,0,3,0,0,3,1,1
5870,2,1,Slight Injury,19,6,6,5,0,5,1,2,3,3,7,2,5,2,5,2,3,6,0,3,0,2,3,1,1
5871,2,1,Slight Injury,19,6,6,5,5,5,4,3,10,3,7,9,5,1,5,2,3,6,0,3,0,3,3,2,1
5872,2,1,Slight Injury,6,6,1,4,5,2,1,3,7,0,7,2,5,8,5,2,1,1,0,3,0,3,3,2,1
5873,2,1,Slight Injury,6,6,3,4,1,5,1,2,5,14,7,2,5,8,5,2,1,2,0,3,0,0,3,1,1
5874,2,2,Slight Injury,13,1,3,4,1,1,0,2,1,17,7,2,5,2,5,2,1,6,0,3,0,0,3,0,1
5875,2,2,Slight Injury,13,1,6,5,5,5,0,3,3,7,12,2,5,8,5,2,1,4,0,3,0,3,3,2,1
5876,2,2,Slight Injury,13,1,3,1,3,5,0,2,9,13,6,7,5,8,5,2,1,2,0,3,0,2,3,1,1
5877,2,1,Slight Injury,14,1,6,5,5,5,2,3,18,5,6,2,5,8,5,2,1,2,0,3,0,3,3,2,1
5878,2,1,Slight Injury,14,1,2,4,4,2,2,2,1,8,6,9,5,8,5,2,1,2,0,3,0,0,3,0,1
5879,2,1,Serious Injury,20,6,3,4,5,5,1,3,3,4,12,2,5,8,5,2,7,5,0,3,0,3,3,2,1
5880,2,1,Serious Injury,20,6,3,2,5,5,1,3,12,5,12,2,5,8,5,2,7,4,3,0,0,3,3,2,1
5881,2,1,Slight Injury,6,5,6,5,1,5,1,2,9,6,6,2,5,8,5,7,0,2,0,3,0,0,3,1,1
5882,2,1,Slight Injury,6,5,2,1,5,5,1,3,0,0,6,2,5,8,5,7,0,2,0,3,0,3,3,2,1
5883,2,1,Slight Injury,14,2,3,1,5,3,2,3,17,0,12,2,5,2,5,2,7,2,0,0,0,3,3,2,1
5884,2,1,Slight Injury,14,2,4,4,0,0,1,2,10,0,13,1,5,2,5,2,7,2,4,3,0,0,3,0,1
5885,1,1,Fatal injury,12,2,1,4,3,3,0,1,3,14,7,3,5,2,6,2,1,2,0,3,0,2,3,0,1
5886,2,1,Slight Injury,18,5,1,4,5,4,0,3,10,17,7,2,5,8,5,2,1,4,4,3,0,3,3,2,1
5887,2,1,Slight Injury,18,5,2,2,5,3,4,3,0,11,7,9,5,1,5,2,1,2,0,3,0,3,3,2,1
5888,2,1,Slight Injury,6,1,6,4,1,5,0,2,11,11,9,2,5,8,5,2,1,4,0,3,0,0,3,1,1
5889,2,1,Slight Injury,6,1,4,5,3,0,1,2,10,14,7,11,5,1,1,2,1,4,0,0,0,2,3,0,1
5890,2,2,Slight Injury,14,6,3,1,1,0,4,2,10,0,7,2,5,8,5,2,1,4,0,3,0,2,3,0,1
5891,2,2,Slight Injury,14,6,4,1,0,5,2,2,0,2,4,2,5,1,5,2,1,4,0,3,0,0,3,1,1
5892,2,2,Slight Injury,14,6,2,4,5,5,2,3,10,0,1,2,5,8,5,2,1,4,0,3,0,3,3,2,1
5893,2,1,Slight Injury,15,2,2,4,0,3,4,2,0,5,2,2,5,8,5,2,7,2,0,3,0,0,3,0,0
5894,2,1,Slight Injury,15,2,6,5,5,5,0,3,10,0,6,9,5,8,5,2,7,2,0,3,0,3,3,2,1
5895,2,1,Slight Injury,16,6,0,4,0,5,0,2,10,10,7,9,5,8,5,4,1,2,0,3,3,0,3,1,1
5896,2,1,Slight Injury,16,6,2,2,0,5,1,2,10,13,6,2,5,8,5,4,1,4,0,3,3,2,3,1,1
5897,2,1,Slight Injury,18,4,2,4,3,5,1,2,0,0,6,1,5,8,5,2,1,2,0,3,0,1,3,0,1
5898,2,1,Slight Injury,18,4,2,4,3,5,1,2,1,10,7,1,5,8,5,2,1,2,0,3,0,1,3,0,1
5899,2,2,Slight Injury,12,4,2,4,0,3,0,2,9,17,9,2,5,8,6,2,0,4,0,3,0,2,3,1,1
5900,2,2,Slight Injury,12,4,3,4,5,3,1,3,1,5,6,5,7,8,5,2,0,6,0,3,0,3,3,2,1
5901,2,2,Slight Injury,12,2,2,4,1,3,2,2,10,5,9,7,5,8,5,2,7,6,0,3,0,2,3,0,1
5902,2,2,Slight Injury,12,2,5,4,5,5,1,3,16,9,12,2,5,8,5,2,7,2,0,4,0,3,3,2,1
5903,2,2,Slight Injury,12,2,4,0,1,3,1,2,13,5,6,1,2,8,5,2,7,2,0,3,0,0,3,1,1
5904,1,1,Slight Injury,7,4,2,1,5,2,0,3,13,5,7,1,5,6,5,2,0,6,0,3,0,3,3,2,1
5905,2,1,Slight Injury,17,0,2,1,1,3,1,2,1,9,7,7,5,2,5,2,7,4,0,3,0,0,3,1,1
5906,2,1,Slight Injury,17,0,2,4,0,3,1,1,11,11,2,9,5,8,5,2,7,6,0,3,0,0,3,1,1
5907,2,1,Slight Injury,11,2,2,2,5,5,1,3,12,0,6,3,5,8,5,2,1,2,0,3,0,3,3,2,1
5908,2,1,Slight Injury,11,2,2,4,0,5,1,2,0,8,7,2,5,8,5,2,1,2,2,3,0,0,3,1,1
5909,1,1,Serious Injury,20,2,1,4,5,5,2,3,0,14,6,2,6,1,5,2,0,2,0,3,0,3,0,2,1
5910,2,2,Slight Injury,18,0,2,6,0,5,4,2,16,7,6,2,5,1,6,2,7,2,0,3,0,2,3,1,1
5911,2,2,Slight Injury,18,0,3,4,0,3,0,2,10,17,6,2,2,8,0,2,7,2,0,3,0,2,3,1,1
5912,2,2,Slight Injury,18,0,0,4,0,3,0,2,12,0,2,7,2,8,5,2,7,4,0,3,0,1,3,0,1
5913,2,1,Slight Injury,17,0,4,6,1,3,4,2,1,14,6,2,1,1,5,3,0,4,0,3,0,0,3,1,1
5914,2,1,Slight Injury,17,0,0,1,5,2,2,3,0,8,7,2,1,1,5,3,0,0,0,3,0,3,3,2,1
5915,1,1,Slight Injury,3,2,2,4,3,5,0,1,10,5,7,2,5,1,5,2,1,2,0,3,0,1,0,1,1
5916,2,1,Slight Injury,18,0,0,4,0,2,0,2,3,0,2,2,7,8,5,2,1,5,0,3,0,0,3,1,1
5917,2,1,Slight Injury,18,0,2,1,5,0,4,3,11,17,12,1,5,2,5,2,1,4,0,3,0,3,3,2,1
5918,2,1,Slight Injury,18,2,1,4,1,5,0,2,3,5,2,2,5,8,5,2,1,2,0,4,0,2,3,0,1
5919,2,1,Slight Injury,18,2,4,4,1,3,1,2,9,5,6,2,5,8,5,2,1,4,3,3,0,0,3,1,1
5920,2,1,Slight Injury,9,3,2,6,5,1,1,3,10,5,7,2,5,2,5,2,1,6,0,3,0,3,3,2,1
5921,2,1,Slight Injury,9,3,2,6,5,3,2,3,10,8,2,2,4,8,5,2,1,2,2,3,0,3,3,2,1
5922,2,1,Slight Injury,10,6,2,4,0,0,3,2,10,8,7,7,5,8,5,2,3,0,0,0,0,0,3,1,1
5923,2,1,Slight Injury,10,6,1,4,5,3,0,3,0,0,7,3,5,8,5,2,3,0,0,0,0,3,3,2,1
5924,1,1,Slight Injury,12,2,3,4,1,2,1,2,0,7,6,2,1,8,5,2,1,2,0,1,0,0,3,1,1
5925,2,1,Slight Injury,8,4,2,4,5,3,1,3,9,17,7,2,5,1,5,2,7,2,2,1,0,3,3,2,1
5926,2,1,Slight Injury,8,4,3,4,4,1,1,2,1,0,7,2,5,6,5,2,7,2,0,3,0,0,3,1,1
5927,1,1,Slight Injury,10,1,1,4,5,5,4,3,12,6,9,2,5,8,5,2,1,2,0,0,0,3,3,2,1
5928,1,1,Slight Injury,15,4,4,4,5,1,0,3,9,0,6,2,5,8,5,7,1,2,0,3,0,3,3,2,1
5929,2,1,Slight Injury,16,4,4,4,1,1,0,2,3,0,2,2,5,8,5,2,1,1,0,3,0,2,3,1,1
5930,2,1,Slight Injury,16,4,2,4,5,0,0,3,3,9,13,9,5,2,5,2,1,4,0,3,0,3,3,2,1
5931,1,2,Slight Injury,22,0,1,4,0,3,1,2,5,3,0,2,3,8,5,2,1,6,0,3,0,0,0,1,1
5932,1,2,Slight Injury,22,0,4,1,1,3,1,2,11,17,7,4,7,6,5,2,1,2,0,3,0,0,0,1,1
5933,2,1,Serious Injury,11,1,1,4,5,5,2,3,12,0,7,2,7,2,5,2,1,4,0,3,0,3,3,2,1
5934,2,1,Serious Injury,11,1,2,4,0,5,2,2,3,11,2,2,5,8,5,2,1,4,0,3,0,2,3,0,1
5935,2,2,Slight Injury,20,3,3,2,1,0,1,1,9,8,9,2,5,8,5,2,1,4,0,0,0,0,0,1,1
5936,2,2,Slight Injury,20,3,3,2,4,5,1,2,3,5,7,2,5,8,5,2,1,4,0,3,0,1,0,0,1
5937,2,2,Slight Injury,20,3,2,4,0,5,1,2,12,0,7,2,5,1,5,2,1,2,0,3,0,0,0,1,1
5938,2,1,Slight Injury,6,0,0,1,1,5,4,2,1,10,7,3,5,8,5,2,1,0,0,3,0,1,3,1,1
5939,2,1,Slight Injury,6,0,2,1,0,5,1,1,0,0,1,3,5,8,5,2,1,2,0,3,0,0,3,1,1
5940,2,1,Slight Injury,15,2,2,4,5,5,1,3,12,11,1,3,5,8,5,3,1,1,0,3,0,3,3,2,1
5941,2,1,Slight Injury,15,2,0,4,0,5,3,2,3,9,7,4,5,8,5,3,1,2,0,3,0,0,3,1,1
5942,1,1,Slight Injury,0,4,2,4,2,0,4,2,9,0,6,2,5,8,6,2,1,2,0,1,0,2,0,0,0
5943,2,1,Slight Injury,5,1,3,2,1,1,0,2,10,5,9,11,5,2,5,4,0,2,0,3,3,0,0,0,1
5944,2,1,Slight Injury,5,1,4,5,4,1,0,2,0,0,7,9,5,2,5,4,0,2,0,3,3,1,0,1,1
5945,1,1,Serious Injury,21,5,2,6,5,0,1,3,0,8,9,1,3,8,5,4,7,4,0,4,3,3,0,2,1
5946,2,1,Slight Injury,18,6,3,0,3,5,4,2,10,9,2,2,5,8,5,2,7,0,2,3,0,1,0,0,1
5947,2,1,Slight Injury,18,6,4,2,5,1,3,3,0,0,7,2,5,8,5,2,7,1,0,3,0,3,0,2,1
